Time, RSSI 1, RSSI 2, CINR 1, CINR 2
01:25:07,-86.5,-71.0,9.0,11.0
01:25:14,-87.5,-71.5,8.0,10.5
01:25:19,-93.0,-68.0,5.5,11.0
01:25:25,-91.0,-62.0,7.0,10.0
01:25:31,-94.0,-65.5,5.5,11.0
01:25:37,-92.0,-65.5,6.0,10.0
01:25:43,-92.5,-65.5,6.5,9.5
01:25:49,-89.5,-65.5,7.5,11.0
01:25:55,-88.0,-62.0,8.0,11.5
01:26:01,-92.0,-64.5,6.5,10.5
01:26:07,-96.0,-64.5,4.0,12.0
01:26:13,-89.0,-61.5,7.5,11.5
01:26:19,-92.5,-68.5,7.0,11.0
01:26:25,-86.0,-80.5,9.0,9.5
01:26:31,-87.5,-68.5,8.5,10.5
01:26:37,-89.5,-69.5,7.0,10.5
01:26:43,-89.5,-67.0,7.5,11.0
01:26:49,-88.0,-64.5,8.0,10.5
01:26:55,-89.0,-66.0,7.5,10.5
01:27:01,-92.0,-68.5,7.0,11.5
01:27:07,-93.0,-73.5,6.0,10.5
01:27:13,-93.5,-72.5,5.5,12.0
01:27:19,-97.0,-77.0,4.0,11.0
01:27:25,-96.0,-73.0,4.0,9.0
01:27:31,-95.5,-68.5,5.0,10.5
01:27:37,-94.0,-69.0,5.0,9.0
01:27:43,-93.0,-69.5,5.5,10.0
01:27:49,-93.0,-68.5,5.5,9.5
01:27:55,-94.0,-70.0,5.0,10.5
01:28:01,-94.5,-69.5,5.0,10.0
01:28:07,-94.0,-68.5,5.0,10.5
01:28:13,-93.0,-69.0,5.0,11.5
01:28:19,-93.0,-68.5,5.5,11.5
01:28:25,-92.5,-66.5,6.5,11.5
01:28:31,-93.5,-71.0,5.5,10.5
01:28:37,-93.0,-69.0,6.0,11.5
01:28:43,-94.0,-72.0,5.0,11.5
01:28:49,-93.0,-71.0,5.0,11.5
01:28:55,-93.0,-68.0,6.0,10.5
01:29:01,-92.0,-66.0,7.0,12.0
01:29:07,-92.0,-69.0,7.0,11.5
01:29:13,-94.0,-72.5,5.5,11.0
01:29:19,-93.5,-72.5,6.0,10.5
01:29:25,-93.5,-72.0,5.5,11.0
01:29:31,-97.5,-77.0,2.0,10.0
01:29:37,-96.0,-76.5,4.0,10.5
01:29:43,-97.0,-77.5,2.5,10.5
01:29:49,-97.5,-73.0,3.0,10.5
01:29:55,-97.5,-76.5,4.0,10.5
01:30:01,-97.5,-75.5,3.0,11.5
01:30:07,-97.0,-77.0,4.0,11.5
01:30:13,-94.0,-71.5,5.0,10.5
01:30:19,-93.5,-71.5,6.0,11.5
01:30:25,-97.5,-78.0,2.5,10.5
01:30:31,-93.5,-67.5,5.0,10.5
01:30:37,-96.0,-69.5,4.5,10.0
01:30:43,-94.5,-68.5,4.5,10.5
01:30:49,-94.0,-68.0,6.0,10.0
01:30:55,-90.0,-63.5,7.0,10.5
01:31:01,-92.0,-66.5,6.0,10.0
