Time, RSSI 1, RSSI 2, CINR 1, CINR 2
10:55:39,-67.5,-64.5,12.0,12.0
10:55:45,-68.5,-65.0,9.5,9.5
10:55:51,-72.5,-68.0,10.0,10.0
10:55:57,-72.5,-69.0,10.5,10.5
10:56:03,-76.5,-74.5,11.0,11.5
10:56:09,-77.5,-77.0,10.0,9.0
10:56:15,-78.0,-77.5,9.5,9.0
10:56:21,-81.5,-78.5,9.0,9.5
10:56:27,-80.5,-79.0,9.0,9.0
10:56:33,-80.5,-79.5,9.0,9.5
10:56:39,-78.0,-82.0,10.0,9.0
10:56:45,-80.5,-81.5,9.5,9.5
10:56:51,-81.5,-82.0,9.0,8.5
10:56:57,-80.5,-84.5,10.0,9.0
10:57:03,-80.5,-87.0,9.0,8.5
10:57:09,-83.0,-85.5,9.5,9.0
10:57:15,-84.0,-84.0,9.0,9.5
10:57:21,-82.5,-86.5,9.0,9.5
10:57:27,-85.0,-85.0,8.5,9.5
10:57:33,-83.5,-87.5,9.0,8.5
10:57:39,-83.5,-87.0,9.5,9.5
10:57:46,-89.5,-91.0,8.0,7.5
10:57:52,-88.0,-92.5,8.0,7.5
10:57:59,-96.0,-98.5,5.5,5.0
10:58:03,-97.0,-102.5,4.0,1.5
10:58:10,-98.0,-102.0,3.5,1.5
10:58:16,-98.0,-102.0,3.5,1.5
10:58:22,-98.0,-102.0,2.5,1.5
10:58:27,-99.5,-102.0,2.5,1.5
10:58:34,-97.0,-101.0,2.5,2.5
10:58:40,-96.0,-101.0,4.0,2.5
10:58:46,-97.0,-102.0,4.0,2.5
10:58:52,-98.0,-101.0,3.5,2.5
10:58:58,-98.0,-102.0,2.5,2.0
10:59:04,-100.0,-103.0,-1.5,-1.0
10:59:10,-100.0,-102.5,-1.5,-1.0
10:59:15,-100.0,-102.5,-1.5,-1.0
10:59:22,-100.0,-102.0,-1.5,-1.0
10:59:28,-99.5,-103.0,-1.5,-1.0
10:59:34,-99.5,-102.5,-1.5,-1.0
10:59:39,-100.0,-103.0,-1.5,-1.0
10:59:46,-100.0,-102.0,-1.5,-1.0
10:59:52,-99.5,-103.0,-1.5,-1.0
10:59:58,-99.5,-102.5,-1.5,-1.0
11:00:04,-100.0,-102.5,-1.5,-1.0
